plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.06973,0.70548,10.75849,1.18212,3422.0,93.0,2073.106881780658
0.07018,0.48624,8.05069,1.16629,4051.0,96.0,2406.9666817390375
0.0704,0.34135,8.50356,1.18952,3797.0,93.0,2819.829912858779
0.07089,0.21985,6.16781,1.11127,6763.0,108.0,2670.983084485324
0.07125,0.23366,5.633,1.22572,2984.0,88.0,2478.663227671787
0.07163,0.82312,6.66897,1.1695,3262.0,95.0,1482.7405347015
0.07176,0.96714,10.50441,1.08146,6787.0,116.0,1217.623996020048
0.07211,0.61958,4.62192,1.17547,3328.0,94.0,1713.349501797269
0.07263,0.71429,4.59009,1.07772,8007.0,118.0,1609.846807530702
0.07289,0.47017,7.87,1.15099,4467.0,98.0,2378.324715173214
0.07338,0.43915,4.30781,1.23434,2558.0,87.0,1901.768597129258
0.0736,0.49567,10.4629,1.09201,8177.0,113.0,2667.911355391146
0.07393,0.24521,6.57255,1.14965,4757.0,99.0,2619.048424846806
0.07441,0.70157,4.35421,1.19427,2867.0,91.0,1540.998870192041
0.07481,0.15156,5.91707,1.23286,2947.0,87.0,2602.942086328094
0.07495,0.12677,10.82838,1.0649,,128.0,3784.27820536963
0.07532,0.97597,10.76905,1.19353,2598.0,91.0,1123.88069228723
0.07577,0.59868,7.58053,1.11646,5517.0,105.0,2031.6486290889368
0.07609,0.35875,4.42162,1.08104,8623.0,118.0,2069.5577164289098
0.07631,0.86368,5.89703,1.20836,2526.0,89.0,1326.126519316581
0.07663,0.39412,8.34498,1.18036,3785.0,94.0,2537.1235691983265
0.0771,0.39909,6.88247,1.14219,4720.0,100.0,2324.0929757359204
0.07745,0.37199,5.86843,1.2461,2554.0,86.0,2174.957951849253
0.07775,0.53973,6.65502,1.22176,2734.0,88.0,1984.560351805983
0.07815,0.21452,9.34108,1.22221,3326.0,89.0,3074.598723552257
0.07837,0.29067,4.13374,1.24608,2480.0,86.0,2005.1150110899457
0.079,0.24998,5.44702,1.07452,,121.0,2358.931128891355
0.07932,0.57667,11.99932,1.13395,5096.0,102.0,2461.4307440758002
0.07955,0.78602,9.88565,1.17725,3218.0,94.0,1670.069649716339
0.07985,0.46778,10.3168,1.17505,3900.0,94.0,2560.8739411825627
0.08031,0.93512,5.25363,1.20313,2488.0,90.0,1160.625517803473
0.08054,0.14336,7.23208,1.24566,2846.0,86.0,2760.7463300866807
0.08113,0.37012,10.34743,1.16739,4273.0,96.0,2799.9272259033205
0.0813,0.8513,8.19968,1.13786,3989.0,100.0,1438.596984531764
0.0816,0.18147,9.80073,1.10184,8032.0,110.0,3207.644964271594
0.0821,0.41182,10.85,1.06027,,129.0,2798.652015030753
0.08256,0.38588,11.50295,1.18351,3915.0,94.0,2880.3917033040825
0.0826,0.5488,10.29247,1.23691,2682.0,87.0,2274.023602586063
0.08304,0.87893,5.68923,1.12029,4476.0,104.0,1305.839760053179
0.0833,0.21684,7.26345,1.08825,8630.0,115.0,2649.575188646837
0.08391,0.86939,8.61579,1.13269,4107.0,101.0,1398.017988068172
0.0842,0.73442,7.87626,1.07616,8174.0,118.0,1704.987555814969
0.08439,0.39081,4.93202,1.14083,4438.0,100.0,1975.018815357926
0.0849,0.56005,9.0488,1.14424,4412.0,99.0,2132.743957057959
0.08505,0.11905,5.18255,1.19158,3442.0,92.0,2344.760432691699
0.08559,0.552,9.7731,1.09178,7423.0,112.0,2240.0943081291766
0.08602,0.72722,11.002,1.18288,3211.0,93.0,1834.102391870933
0.08624,0.68291,7.17196,1.22018,2569.0,88.0,1679.394953534456
0.08677,0.2024,8.38476,1.2165,3220.0,89.0,2741.7690567545837
0.08693,0.50904,4.69305,1.1557,3789.0,97.0,1763.437258040898
0.08746,0.20781,6.45333,1.06257,,127.0,2475.776615638879
0.08782,0.78353,9.58092,1.21933,2521.0,88.0,1585.670572608613
0.08818,0.97706,10.20065,1.1586,3164.0,96.0,1109.558207688036
0.08828,0.37297,11.0254,1.06352,,126.0,2799.2783468513094
0.08881,0.6764,6.36611,1.13504,4280.0,101.0,1655.924831390152
0.08923,0.51804,8.34281,1.05294,,133.0,2156.647285641164
0.08939,0.6325,8.94252,1.12174,5061.0,103.0,1925.75943378333
0.08983,0.6912,4.10794,1.05851,,128.0,1527.815592355938
0.09027,0.13127,8.68515,1.16975,4275.0,95.0,2884.9914718085874
0.09061,0.96042,7.70538,1.06766,8110.0,121.0,1183.063287943228
0.0908,0.75773,8.48549,1.22741,2420.0,87.0,1571.474341131242
0.09136,0.64573,4.46592,1.07207,8501.0,120.0,1590.483871500668
0.0917,0.58157,7.34254,1.22888,2543.0,87.0,1831.011466660887
0.09174,0.88188,7.38815,1.19333,2680.0,91.0,1282.136508342566
0.09238,0.64727,5.48906,1.22956,2406.0,87.0,1578.804736412219
0.09249,0.69549,10.69238,1.24116,2396.0,86.0,1817.976129748824
0.09292,0.70749,5.59751,1.09925,5835.0,109.0,1554.801394258339
0.0933,0.5317,7.90667,1.11478,5495.0,105.0,2006.4526084964787
0.09357,0.31596,10.2296,1.14763,4762.0,99.0,2685.5870294426572
0.09399,0.2571,6.61205,1.23372,2713.0,87.0,2249.3303727094476
0.09439,0.48255,10.64737,1.24234,2622.0,86.0,2303.444773068859
0.09488,0.66851,4.38728,1.15134,3652.0,97.0,1497.211169827719
0.09489,0.12887,9.71196,1.18638,3904.0,93.0,2966.656445038136
0.09529,0.83491,6.71299,1.17813,2960.0,93.0,1348.398977966673
