plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.02,0.39667,9.33333,1.11667.4,,122.0,7208.669689953725
0.02,0.39667,9.33333,1.18333.1,8285.0,101.0,7169.973243960802
0.02,0.39667,9.33333,1.18333.2,8285.0,101.0,7169.973243960802
0.02,0.39667,9.33333,1.18333.3,8285.0,101.0,7169.973243960802
0.02,0.39667,9.33333,1.18333.4,8285.0,101.0,7169.973243960802
0.02,0.39667,9.33333,1.18333.5,8285.0,101.0,7169.973243960802
0.02,0.39667,9.33333,1.25.1,5596.0,91.0,7139.890638675866
0.02,0.39667,9.33333,1.25.2,5596.0,91.0,7139.890638675866
0.02,0.39667,9.33333,1.25.3,5596.0,91.0,7139.890638675866
0.02,0.39667,9.33333,1.25.4,5596.0,91.0,7139.890638675866
0.02,0.39667,9.33333,1.25.5,5596.0,91.0,7139.890638675866
0.02,0.39667,9.33333,1.25.6,5596.0,91.0,7139.890638675866
0.02,0.39667,9.33333,1.25.7,5596.0,91.0,7139.890638675866
0.02,0.39667,12.0,1.05,,2947.0,9036.612532046845
0.02,0.39667,12.0,1.11667,,123.0,8737.591631407016
0.02,0.39667,12.0,1.18333,9474.0,104.0,8697.72607895681
0.02,0.39667,12.0,1.25,6397.0,94.0,8665.911362263623
0.02,0.39667,12.0,1.05.1,,2947.0,9036.612532046845
0.02,0.39667,12.0,1.05.2,,2947.0,9036.612532046845
0.02,0.39667,12.0,1.05.3,,2947.0,9036.612532046845
0.02,0.39667,12.0,1.05.4,,2947.0,9036.612532046845
0.02,0.39667,12.0,1.11667.1,,123.0,8737.591631407016
0.02,0.39667,12.0,1.11667.2,,123.0,8737.591631407016
0.02,0.39667,12.0,1.11667.3,,123.0,8737.591631407016
0.02,0.39667,12.0,1.11667.4,,123.0,8737.591631407016
0.02,0.39667,12.0,1.11667.5,,123.0,8737.591631407016
0.02,0.39667,12.0,1.11667.6,,123.0,8737.591631407016
0.02,0.39667,12.0,1.18333.1,9474.0,104.0,8697.72607895681
0.02,0.39667,12.0,1.18333.2,9474.0,104.0,8697.72607895681
0.02,0.39667,12.0,1.18333.3,9474.0,104.0,8697.72607895681
0.02,0.39667,12.0,1.25.1,6397.0,94.0,8665.911362263623
0.02,0.39667,12.0,1.25.2,6397.0,94.0,8665.911362263623
0.02,0.39667,12.0,1.25.3,6397.0,94.0,8665.911362263623
0.02,0.39667,12.0,1.25.4,6397.0,94.0,8665.911362263623
0.02,0.39667,12.0,1.25.5,6397.0,94.0,8665.911362263623
0.02,0.69333,4.0,1.05,,1328.0,2929.9716129544895
0.02,0.69333,4.0,1.11667,8324.0,118.0,2793.1067539850674
0.02,0.69333,4.0,1.18333,4575.0,99.0,2756.197941897051
0.02,0.69333,4.0,1.25,3140.0,89.0,2727.219444567042
