time,sds.I[1]&plasma1.fb=0.04,sds.I[1]&plasma1.fb=0.06,sds.I[1]&plasma1.fb=0.08,sds.I[1]&plasma1.fb=0.1,sds.I[1]&plasma1.fb=0.12,sds.I[1]&plasma1.fb=0.14,sds.I[1]&plasma1.fb=0.16
7053.0,5321.358780111363,6205.673767313912,6649.942217724398,6918.120370974297,7098.202475412662,7227.903693514982,7326.08327816032
7054.0,5322.083472711289,6206.454757268851,6650.751356438238,6918.946399002755,7099.039763089454,7228.749023872128,7326.934640593941
7055.0,5322.808165088669,6207.235745958104,6651.560493364837,6919.772424931054,7099.877048457466,7229.594351771481,7327.786000458011
7056.0,5323.532857243506,6208.016733381671,6652.369628504193,6920.598448759194,7100.714331516701,7230.439677213042,7328.637357752527
7057.0,5324.257549175798,6208.797719539552,6653.178761856308,6921.424470487174,7101.551612267157,7231.285000196812,7329.488712477492
7058.0,5324.982240885544,6209.578704431748,6653.987893421178,6922.250490114995,7102.388890708834,7232.130320722788,7330.340064632905
7059.0,5325.706932372746,6210.359688058259,6654.797023198807,6923.076507642657,7103.226166841732,7232.975638790973,7331.191414218765
7060.0,5326.431623637404,6211.140670419084,6655.606151189193,6923.902523070158,7104.063440665852,7233.820954401366,7332.042761235072
7061.0,5327.156314679516,6211.921651514224,6656.415277392337,6924.728536397502,7104.900712181193,7234.666267553966,7332.894105681828
7062.0,5327.881005499084,6212.702631343679,6657.224401808239,6925.554547624685,7105.737981387755,7235.511578248774,7333.745447559032
7063.0,5328.605696096108,6213.483609907448,6658.033524436898,6926.380556751709,7106.575248285539,7236.35688648579,7334.596786866683
7064.0,5329.330386470586,6214.264587205532,6658.842645278314,6927.206563778574,7107.412512874544,7237.202192265013,7335.448123604781
7065.0,5330.05507662252,6215.045563237931,6659.651764332489,6928.03256870528,7108.249775154769,7238.047495586445,7336.299457773328
7066.0,5330.779765907183,6215.82653746204,6660.460881107876,6928.858571070915,7109.08703468573,7238.892796024185,7337.150788957365
7067.0,5331.504454166548,6216.607509744863,6661.269995483995,6929.684570762506,7109.924291359457,7239.738093473843,7338.002117055182
7068.0,5332.229142119936,6217.388480691781,6662.079108009262,6930.510568294293,7110.761545667403,7240.583388410592,7338.853442529747
7069.0,5332.953829767346,6218.169450302798,6662.888218683675,6931.336563666275,7111.598797609567,7241.428680834436,7339.70476538106
7070.0,5333.678517108779,6218.950418577911,6663.697327507237,6932.16255687845,7112.43604718595,7242.273970745372,7340.556085609123
7071.0,5334.403204144235,6219.731385517123,6664.506434479947,6932.988547930822,7113.273294396551,7243.119258143402,7341.407403213935
7072.0,5335.127890873712,6220.512351120431,6665.315539601803,6933.814536823389,7114.110539241371,7243.964543028524,7342.258718195496
7073.0,5335.852577297213,6221.293315387836,6666.124642872807,6934.64052355615,7114.94778172041,7244.809825400739,7343.110030553806
7074.0,5336.577263414735,6222.074278319339,6666.93374429296,6935.466508129107,7115.785021833667,7245.655105260047,7343.961340288864
7075.0,5337.30194922628,6222.855239914938,6667.74284386226,6936.292490542258,7116.622259581143,7246.500382606449,7344.812647400669
7076.0,5338.026634731847,6223.636200174635,6668.551941580707,6937.118470795604,7117.459494962837,7247.345657439942,7345.663951889225
7077.0,5338.751319931438,6224.417159098429,6669.361037448302,6937.944448889145,7118.296727978751,7248.19092976053,7346.515253754529
7078.0,5339.476004825051,6225.19811668632,6670.170131465045,6938.770424822882,7119.133958628882,7249.03619956821,7347.366552996583
7079.0,5340.200689412685,6225.979072938308,6670.979223630935,6939.596398596813,7119.971186913232,7249.881466862982,7348.217849615385
7080.0,5340.925373694343,6226.760027854392,6671.788313945974,6940.422370210939,7120.808412831801,7250.726731644848,7349.069143610935
7081.0,5341.650057670023,6227.540981434576,6672.59740241016,6941.248339665261,7121.645636384589,7251.571993913806,7349.920434983234
7082.0,5342.374741339724,6228.321933678855,6673.406489023492,6942.074306959776,7122.482857571596,7252.417253669858,7350.771723732282
7083.0,5343.09942470345,6229.102884587232,6674.215573785974,6942.900272094487,7123.32007639282,7253.262510913002,7351.623009858079
7084.0,5343.824107761197,6229.883834159706,6675.024656697603,6943.726235069394,7124.157292848265,7254.10776564324,7352.474293360624
7085.0,5344.548790512967,6230.664782396276,6675.833737758378,6944.552195884494,7124.994506937926,7254.953017860571,7353.325574239919
7086.0,5345.273472958758,6231.445729296945,6676.642816968303,6945.378154539791,7125.831718661806,7255.798267564995,7354.176852495963
7087.0,5345.998155098573,6232.226674861709,6677.451894327375,6946.204111035281,7126.668928019906,7256.643514756511,7355.028128128754
7088.0,5346.72283693241,6233.007619090572,6678.260969835594,6947.030065370967,7127.506135012223,7257.48875943512,7355.879401138295
7089.0,5347.44751846027,6233.788561983532,6679.070043492961,6947.856017546847,7128.343339638761,7258.334001600823,7356.730671524584
7090.0,5348.172199682152,6234.569503540588,6679.879115299475,6948.681967562924,7129.180541899515,7259.179241253618,7357.581939287622
7091.0,5348.896880598056,6235.350443761742,6680.688185255138,6949.507915419195,7130.017741794489,7260.024478393507,7358.433204427409
7092.0,5349.621561207983,6236.131382646992,6681.497253359948,6950.333861115661,7130.854939323682,7260.869713020488,7359.284466943945
7093.0,5350.346241511932,6236.912320196341,6682.306319613906,6951.159804652321,7131.692134487093,7261.714945134562,7360.135726837229
7094.0,5351.070921509904,6237.693256409787,6683.11538401701,6951.985746029177,7132.529327284722,7262.56017473573,7360.986984107262
7095.0,5351.795601201899,6238.474191287329,6683.924446569264,6952.811685246227,7133.36651771657,7263.405401823989,7361.838238754045
7096.0,5352.520280587915,6239.255124828968,6684.733507270665,6953.637622303473,7134.203705782637,7264.250626399342,7362.689490777576
7097.0,5353.244959667953,6240.036057034705,6685.542566121212,6954.463557200914,7135.040891482922,7265.095848461788,7363.540740177856
7098.0,5353.969638442015,6240.816987904538,6686.351623120908,6955.289489938549,7135.878074817426,7265.941068011326,7364.391986954883
7099.0,5354.6943169101,6241.59791743847,6687.160678269752,6956.115420516379,7136.715255786149,7266.786285047959,7365.24323110866
7100.0,5355.418995072206,6242.378845636497,6687.969731567743,6956.941348934405,7137.55243438909,7267.631499571683,7366.094472639186
7101.0,5356.143672928334,6243.159772498623,6688.778783014882,6957.767275192626,7138.389610626251,7268.476711582501,7366.94571154646
7102.0,5356.868350478486,6243.940698024845,6689.587832611169,6958.593199291041,7139.226784497629,7269.321921080412,7367.796947830484
7103.0,5357.59302772266,6244.721622215165,6690.396880356602,6959.419121229652,7140.063956003227,7270.167128065415,7368.648181491257
7104.0,5358.317704660856,6245.502545069581,6691.205926251184,6960.245041008457,7140.901125143042,7271.012332537513,7369.499412528778
7105.0,5359.042381293075,6246.283466588096,6692.014970294914,6961.070958627457,7141.738291917076,7271.857534496702,7370.350640943047
7106.0,5359.767057619316,6247.064386770707,6692.82401248779,6961.896874086653,7142.575456325329,7272.702733942984,7371.201866734064
7107.0,5360.49173363958,6247.845305617414,6693.633052829816,6962.722787386042,7143.412618367801,7273.54793087636,7372.053089901832
7108.0,5361.216409353866,6248.62622312822,6694.442091320989,6963.548698525628,7144.249778044492,7274.393125296829,7372.904310446348
