time,sds.I[1]&i_iss.T=2.0,sds.I[1]&i_iss.T=4.0,sds.I[1]&i_iss.T=6.0,sds.I[1]&i_iss.T=8.0,sds.I[1]&i_iss.T=10.0,sds.I[1]&i_iss.T=12.0
5060.0,4959.66627192417,4649.220416481637,4338.78071369955,4028.348484278004,3717.924019252,3407.507391652031
5061.0,4960.445589264883,4649.999733806591,4339.560031011083,4029.127801586695,3718.703336558915,3408.286708963976
5062.0,4961.224910307142,4650.77905483309,4340.339352024164,4029.907122596934,3719.482657567376,3409.066029977465
5063.0,4962.004235050944,4651.558379561132,4341.118676738792,4030.68644730872,3720.261982277385,3409.8453546925
5064.0,4962.783563496291,4652.33770799072,4341.898005154967,4031.465775722054,3721.041310688941,3410.624683109079
5065.0,4963.562895643183,4653.117040121851,4342.677337272691,4032.245107836934,3721.820642802045,3411.404015227203
5066.0,4964.342230213924,4653.896374676829,4343.456671814264,4033.024442375666,3722.599977338999,3412.183349769175
5067.0,4965.121566895258,4654.675711342402,4344.236008466434,4033.803779024995,3723.37931398655,3412.962686421742
5068.0,4965.900907112789,4655.455051544171,4345.015348654803,4034.583119210522,3724.1586541703,3413.742026610505
5069.0,4966.680250866517,4656.234395282133,4345.794692379372,4035.362462932248,3724.937997890248,3414.521370335463
5070.0,4967.459598156439,4657.013742556292,4346.574039640136,4036.141810190171,3725.717345146395,3415.300717596618
5071.0,4968.238948982556,4657.793093366646,4347.3533904371,4036.921160984292,3726.49669593874,3416.080068393968
5072.0,4969.01830334487,4658.572447713193,4348.132744770262,4037.700515314612,3727.276050267282,3416.859422727513
5073.0,4969.797661243379,4659.351805595937,4348.912102639622,4038.479873181131,3728.055408132023,3417.638780597255
5074.0,4970.577022678083,4660.131167014875,4349.69146404518,4039.259234583848,3728.834769532963,3418.418142003192
5075.0,4971.356387648983,4660.910531970009,4350.470828986937,4040.038599522762,3729.6141344701,3419.197506945325
5076.0,4972.13575615608,4661.689900461337,4351.250197464892,4040.817967997875,3730.393502943436,3419.976875423653
5077.0,4972.915128199372,4662.469272488861,4352.029569479045,4041.597340009186,3731.172874952971,3420.756247438178
5078.0,4973.694503778858,4663.248648052579,4352.808945029396,4042.376715556696,3731.952250498703,3421.535622988898
5079.0,4974.473882894541,4664.028027152493,4353.588324115945,4043.156094640403,3732.731629580634,3422.315002075813
5080.0,4975.25326554642,4664.807409788601,4354.367706738694,4043.935477260309,3733.511012198763,3423.094384698924
5081.0,4976.032651734494,4665.586795960905,4355.14709289764,4044.714863416413,3734.29039835309,3423.873770858231
5082.0,4976.812041458763,4666.366185669403,4355.926482592784,4045.494253108716,3735.069788043616,3424.653160553734
5083.0,4977.591434719228,4667.145578914097,4356.705875824127,4046.273646337216,3735.849181270339,3425.432553785432
5084.0,4978.37083151589,4667.924975694986,4357.485272591668,4047.053043101915,3736.628578033261,3426.211950553326
5085.0,4979.150231848746,4668.70437601207,4358.264672895407,4047.832443402812,3737.407978332382,3426.991350857416
5086.0,4979.929635717798,4669.483779865349,4359.044076735344,4048.611847239907,3738.1873821677,3427.770754697701
5087.0,4980.709043123046,4670.263187254823,4359.82348411148,4049.391254613201,3738.966789539217,3428.550162074182
5088.0,4981.48845406449,4671.042598180491,4360.602895023813,4050.170665522693,3739.746200446932,3429.32957298686
5089.0,4982.267868542129,4671.822012642356,4361.382309472346,4050.950079968383,3740.525614890846,3430.108987435732
5090.0,4983.047286555963,4672.601430640414,4362.161727457077,4051.729497950271,3741.305032870957,3430.8884054208
5091.0,4983.826708105994,4673.380852174669,4362.941148978005,4052.508919468358,3742.084454387267,3431.667826942064
5092.0,4984.60613319222,4674.160277245118,4363.720574035132,4053.288344522643,3742.863879439776,3432.447251999524
5093.0,4985.385561814641,4674.939705851762,4364.500002628457,4054.067773113125,3743.643308028482,3433.226680593179
5094.0,4986.164993973259,4675.719137994602,4365.27943475798,4054.847205239806,3744.422740153386,3434.00611272303
5095.0,4986.944429668071,4676.498573673635,4366.058870423702,4055.626640902686,3745.20217581449,3434.785548389077
5096.0,4987.72386889908,4677.278012888865,4366.838309625622,4056.406080101764,3745.981615011791,3435.56498759132
5097.0,4988.503311666283,4678.057455640289,4367.617752363741,4057.18552283704,3746.761057745291,3436.344430329757
5098.0,4989.282757969683,4678.836901927909,4368.397198638057,4057.964969108514,3747.540504014989,3437.123876604391
5099.0,4990.062207809279,4679.616351751723,4369.176648448572,4058.744418916187,3748.319953820884,3437.903326415221
5100.0,4990.841661185069,4680.395805111732,4369.956101795284,4059.523872260057,3749.099407162978,3438.682779762246
5101.0,4991.621118097056,4681.175262007937,4370.735558678195,4060.303329140126,3749.878864041271,3439.462236645466
5102.0,4992.400578545238,4681.954722440337,4371.515019097304,4061.082789556393,3750.658324455762,3440.241697064883
5103.0,4993.180042529617,4682.73418640893,4372.294483052612,4061.862253508859,3751.437788406451,3441.021161020496
5104.0,4993.959510050189,4683.51365391372,4373.073950544118,4062.641720997522,3752.217255893338,3441.800628512303
5105.0,4994.738981106959,4684.293124954705,4373.853421571822,4063.421192022385,3752.996726916424,3442.580099540307
5106.0,4995.518455699924,4685.072599531884,4374.632896135724,4064.200666583445,3753.776201475708,3443.359574104507
5107.0,4996.297933829084,4685.852077645259,4375.412374235824,4064.980144680703,3754.55567957119,3444.139052204902
5108.0,4997.077415494439,4686.631559294829,4376.191855872124,4065.75962631416,3755.33516120287,3444.918533841492
5109.0,4997.856900695991,4687.411044480594,4376.97134104462,4066.539111483814,3756.11464637075,3445.698019014279
5110.0,4998.636389433739,4688.190533202554,4377.750829753316,4067.318600189668,3756.894135074826,3446.477507723261
5111.0,4999.415881707681,4688.970025460708,4378.53032199821,4068.098092431719,3757.673627315101,3447.256999968439
5112.0,5000.19537751782,4689.749521255058,4379.309817779301,4068.877588209969,3758.453123091575,3448.036495749812
5113.0,5000.974876864154,4690.529020585603,4380.089317096592,4069.657087524416,3759.232622404247,3448.815995067382
5114.0,5001.754379746684,4691.308523452343,4380.868819950079,4070.436590375063,3760.012125253117,3449.595497921147
5115.0,5002.533886165409,4692.088029855277,4381.648326339767,4071.216096761907,3760.791631638185,3450.375004311107
5116.0,5003.31339612033,4692.867539794408,4382.427836265651,4071.99560668495,3761.571141559451,3451.154514237264
5117.0,5004.092909611447,4693.647053269733,4383.207349727734,4072.77512014419,3762.350655016916,3451.934027699616
5118.0,5004.872426638759,4694.426570281254,4383.986866726016,4073.554637139629,3763.130172010579,3452.713544698164
5119.0,5005.651947202266,4695.206090828969,4384.766387260495,4074.334157671266,3763.909692540441,3453.493065232907
5120.0,5006.43147130197,4695.985614912879,4385.545911331174,4075.113681739102,3764.6892166065,3454.272589303846
5121.0,5007.21099893787,4696.765142532984,4386.325438938049,4075.893209343136,3765.468744208758,3455.052116910981
5122.0,5007.990530109964,4697.544673689285,4387.104970081124,4076.672740483368,3766.248275347215,3455.831648054311
5123.0,5008.770064818254,4698.324208381779,4387.884504760395,4077.452275159798,3767.027810021869,3456.611182733838
5124.0,5009.54960306274,4699.10374661047,4388.664042975866,4078.231813372427,3767.807348232722,3457.39072094956
5125.0,5010.329144843422,4699.883288375356,4389.443584727536,4079.011355121253,3768.586889979773,3458.170262701477
5126.0,5011.108690160298,4700.662833676435,4390.223130015403,4079.790900406278,3769.366435263022,3458.94980798959
5127.0,5011.888239013372,4701.442382513711,4391.002678839469,4080.570449227501,3770.145984082469,3459.729356813899
5128.0,5012.66779140264,4702.221934887181,4391.782231199732,4081.350001584923,3770.925536438115,3460.508909174404
5129.0,5013.447347328105,4703.001490796847,4392.561787096194,4082.129557478543,3771.705092329959,3461.288465071104
5130.0,5014.226906789764,4703.781050242707,4393.341346528854,4082.90911690836,3772.484651758001,3462.068024504
5131.0,5015.00646978762,4704.560613224764,4394.120909497713,4083.688679874377,3773.264214722242,3462.847587473093
5132.0,5015.786031418968,4705.340174840312,4394.900471100067,4084.468241473888,3774.043776319977,3463.627149075678
5133.0,5016.565596059066,4706.119739464609,4395.680035711172,4085.24780608215,3774.823340926464,3464.406713687012
5134.0,5017.345164076569,4706.899307466311,4396.459603699684,4086.027374067819,3775.602908910358,3465.186281675752
5135.0,5018.124735471478,4707.678878845418,4397.239175065604,4086.806945430897,3776.38248027166,3465.965853041897
5136.0,5018.904310243791,4708.458453601929,4398.018749808934,4087.586520171384,3777.162055010371,3466.745427785448
5137.0,5019.683888393511,4709.238031735847,4398.79832792967,4088.366098289278,3777.94163312649,3467.525005906405
5138.0,5020.463469920636,4710.017613247168,4399.577909427815,4089.145679784581,3778.721214620017,3468.304587404767
5139.0,5021.243054825168,4710.797198135896,4400.357494303369,4089.925264657292,3779.500799490953,3469.084172280535
5140.0,5022.022643107104,4711.576786402028,4401.13708255633,4090.704852907411,3780.280387739297,3469.863760533709
5141.0,5022.802234766446,4712.356378045565,4401.916674186699,4091.484444534939,3781.059979365049,3470.643352164288
5142.0,5023.581829803194,4713.135973066507,4402.696269194478,4092.264039539874,3781.839574368209,3471.422947172274
5143.0,5024.361428217348,4713.915571464854,4403.475867579664,4093.043637922218,3782.619172748777,3472.202545557665
5144.0,5025.141030008907,4714.695173240608,4404.255469342259,4093.823239681969,3783.398774506754,3472.982147320462
5145.0,5025.920635177872,4715.474778393765,4405.035074482262,4094.60284481913,3784.178379642139,3473.761752460664
5146.0,5026.700243724243,4716.254386924327,4405.814682999672,4095.382453333698,3784.957988154932,3474.541360978272
5147.0,5027.479855648018,4717.033998832295,4406.594294894492,4096.162065225675,3785.737600045134,3475.320972873286
5148.0,5028.2594709492,4717.813614117667,4407.373910166719,4096.94168049506,3786.517215312743,3476.100588145706
5149.0,5029.039089627789,4718.593232780446,4408.153528816354,4097.721299141853,3787.296833957761,3476.880206795531
5150.0,5029.818711683782,4719.372854820629,4408.933150843399,4098.500921166054,3788.076455980187,3477.659828822761
5151.0,5030.598337117181,4720.152480238216,4409.71277624785,4099.280546567664,3788.856081380021,3478.439454227399
5152.0,5031.377965927984,4720.93210903321,4410.49240502971,4100.060175346682,3789.635710157264,3479.219083009441
5153.0,5032.157598116194,4721.711741205608,4411.27203718898,4100.839807503107,3790.415342311915,3479.998715168889
5154.0,5032.937233681811,4722.491376755412,4412.051672725656,4101.619443036941,3791.194977843974,3480.778350705743
5155.0,5033.716872624832,4723.27101568262,4412.83131163974,4102.399081948183,3791.974616753441,3481.557989620003
5156.0,5034.496514945259,4724.050657987233,4413.610953931235,4103.178724236835,3792.754259040317,3482.337631911668
5157.0,5035.276160643092,4724.83030366925,4414.390599600136,4103.958369902894,3793.5339047046,3483.117277580739
5158.0,5036.055809718329,4725.609952728674,4415.170248646446,4104.73801894636,3794.313553746293,3483.896926627216
5159.0,5036.835462170974,4726.389605165503,4415.949901070163,4105.517671367234,3795.093206165393,3484.676579051098
5160.0,5037.615118001024,4727.169260979736,4416.729556871289,4106.297327165518,3795.872861961901,3485.456234852387
5161.0,5038.394777208479,4727.948920171375,4417.509216049824,4107.076986341211,3796.652521135818,3486.235894031081
5162.0,5039.17443979334,4728.728582740418,4418.288878605767,4107.856648894311,3797.432183687143,3487.01555658718
5163.0,5039.954105755606,4729.508248686868,4419.068544539116,4108.636314824817,3798.211849615876,3487.795222520686
5164.0,5040.733775095278,4730.287918010721,4419.848213849877,4109.415984132735,3798.991518922018,3488.574891831597
5165.0,5041.513447812356,4731.067590711981,4420.627886538043,4110.195656818059,3799.771191605567,3489.354564519913
5166.0,5042.293123906839,4731.847266790644,4421.407562603618,4110.975332880792,3800.550867666525,3490.134240585636
