plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.05981,0.32033,5.26952,1.19326,3582.0,92.0,2503.1719093158536
0.05998,0.67317,10.1604,1.08682,8378.0,116.0,2349.6595137132927
0.06017,0.688,8.9646,1.06963,,124.0,2188.765879114245
0.06034,0.86702,6.83202,1.06045,,129.0,1516.59061319837
0.06036,0.36908,8.48118,1.22922,3225.0,88.0,3007.2332670475553
0.06039,0.58863,9.42028,1.24574,2716.0,86.0,2471.3399311492303
0.06117,0.5848,9.45472,1.24488,2724.0,86.0,2470.2391401518644
0.0612,0.32736,6.76882,1.14266,5248.0,101.0,2787.948773460584
0.06122,0.30642,7.20702,1.18857,3929.0,93.0,2907.8826607188444
0.06139,0.44372,9.7146,1.24151,3016.0,87.0,2962.8293895972897
0.06158,0.45855,10.9104,1.18505,4114.0,94.0,3126.663938496552
0.06175,0.85311,4.89452,1.06514,9627.0,126.0,1454.751787534763
0.06176,0.58463,8.60618,1.2339,2800.0,87.0,2355.192064263772
0.0618,0.57473,9.60778,1.19731,3459.0,92.0,2526.243867545323
0.06258,0.5709,9.64222,1.19644,3472.0,92.0,2525.1005223304687
0.06261,0.11181,6.89382,1.14735,5531.0,100.0,3273.0677267376655
0.06263,0.29252,9.14452,1.18389,4293.0,94.0,3309.756623165349
0.0628,0.21427,5.5896,1.1038,7596.0,111.0,2750.18068836729
0.06298,0.22909,6.7854,1.16026,4750.0,98.0,2959.8690186606464
0.06315,0.8392,5.04298,1.06982,8886.0,123.0,1478.628184348043
0.06317,0.80017,8.73118,1.23859,2397.0,86.0,1692.618305733439
0.06321,0.56082,9.79528,1.14887,4738.0,99.0,2583.762218925824
0.06398,0.55699,9.82972,1.14801,4763.0,99.0,2582.8125245454216
0.06402,0.30373,7.01882,1.15203,4887.0,99.0,2813.3770838520554
0.06403,0.27861,11.08202,1.1792,4676.0,95.0,3709.097005043865
0.0642,0.21519,6.5354,1.15088,5030.0,99.0,2903.378798384793
