time,sds.I[1]&blanket.TBR=1.05,sds.I[1]&blanket.TBR=1.08,sds.I[1]&blanket.TBR=1.1,sds.I[1]&blanket.TBR=1.12,sds.I[1]&blanket.TBR=1.15,sds.I[1]&blanket.TBR=1.18,sds.I[1]&blanket.TBR=1.2,sds.I[1]&blanket.TBR=1.22,sds.I[1]&blanket.TBR=1.25
9492.0,3716.625086795481,6348.896587952855,8103.746636618738,9858.598503468786,12490.87956148138,15123.16433548882,16878.02281603167,18632.88280221313,21265.17549121045
9493.0,3716.947700424521,6349.490335206877,8104.521139630084,9859.553762243168,12492.10595391075,15124.66186158528,16879.7010979126,18634.74183988378,21267.30566257463
9494.0,3717.270313300663,6350.084079996181,8105.295639035492,9860.5090162704,12493.33233988113,15126.15937951091,16881.37937048147,18636.60086710114,21269.43582177367
9495.0,3717.592925423907,6350.677822320766,8106.070134834965,9861.464265550472,12494.55871939252,15127.65688926571,16883.05763373829,18638.45988386521,21271.56596880757
9496.0,3717.915536794253,6351.271562180631,8106.8446270285,9862.419510083388,12495.78509244492,15129.15439084969,16884.73588768305,18640.31889017599,21273.69610367633
9497.0,3718.238147411701,6351.865299575777,8107.6191156161,9863.37474986915,12497.01145903833,15130.65188426283,16886.41413231575,18642.17788603348,21275.82622637994
9498.0,3718.56075727625,6352.459034506204,8108.393600597764,9864.329984907754,12498.23781917275,15132.14936950514,16888.09236763639,18644.03687143768,21277.95633691843
9499.0,3718.883366387901,6353.052766971912,8109.168081973491,9865.285215199205,12499.46417284818,15133.64684657663,16889.77059364497,18645.89584638859,21280.08643529176
9500.0,3719.205974746655,6353.646496972901,8109.942559743283,9866.240440743495,12500.69052006462,15135.14431547729,16891.4488103415,18647.75481088621,21282.21652149996
9500.00000100017,3719.205975069317,6353.64649756673,8109.942560517889,9866.24044169888,12500.69052129117,15135.144316975,16891.44881202,18647.75481274548,21282.2165236304
9500.00000100017,3719.205975069317,6353.64649756673,8109.942560517889,9866.24044169888,12500.69052129117,15135.144316975,16891.44881202,18647.75481274548,21282.2165236304
9501.0,3719.528585752739,6354.240227904772,8110.717037299641,9867.195664930034,12501.9168642068,15136.64177958716,16893.12702110288,18649.61376830432,21284.34659891208
9502.0,3719.851195977271,6354.83395634328,8111.491511221429,9868.150884340788,12503.14320186138,15138.13923549761,16894.80522252361,18651.47271524056,21286.47666413049
9503.0,3720.173805419393,6355.427682287557,8112.265981507769,9869.106098974877,12504.36953302745,15139.63668320771,16896.48341460278,18653.331651694,21288.60671715425
9504.0,3720.496414079043,6356.021405737542,8113.0404481586,9870.06130883224,12505.59585770497,15141.13412271742,16898.16159734032,18655.19057766459,21290.73675798331
9505.0,3720.819021954177,6356.615126691197,8113.814911171889,9871.01651391084,12506.8221758919,15142.63155402471,16899.83977073422,18657.04949315031,21292.86678661565
9506.0,3721.141629045173,6357.208845148896,8114.589370548007,9871.971714211057,12508.04848758862,15144.12897712995,16901.51793478484,18658.90839815152,21294.99680305165
9507.0,3721.464235352173,6357.802561110783,8115.363826287098,9872.926909733029,12509.27479279526,15145.62639203328,16903.19608949234,18660.76729266837,21297.12680729145
9508.0,3721.786840875176,6358.396274576857,8116.138278389163,9873.882100476758,12510.50109151183,15147.12379873471,16904.87423485669,18662.62617670087,21299.25679933503
9509.0,3722.109445608096,6358.989985541045,8116.912726848136,9874.837286436188,12511.72738373229,15148.6211972282,16906.5523708719,18664.48505024299,21301.38677917642
9510.0,3722.432049552806,6359.583694005215,8117.687171665886,9875.792467613184,12512.95366945849,15150.11858751562,16908.23049753981,18666.34391329661,21303.51674681745
9511.0,3722.754652710452,6360.177399970512,8118.461612843551,9876.747644008885,12514.17994869158,15151.61596959809,16909.90861486156,18668.20276586282,21305.64670225926
9512.0,3723.077255081032,6360.771103436934,8119.236050381132,9877.702815623292,12515.40622143155,15153.11334347561,16911.58672283714,18670.06160794166,21307.77664550184
9513.0,3723.399856664549,6361.364804404483,8120.010484278631,9878.6579824564,12516.6324876784,15154.61070914819,16913.26482146656,18671.9204395331,21309.9065765452
9514.0,3723.722457461001,6361.958502873156,8120.784914536046,9879.613144508214,12517.85874743213,15156.10806661583,16914.94291074981,18673.77926063715,21312.03649538933
9515.0,3724.045057470388,6362.552198842957,8121.559341153376,9880.568301778732,12519.08500069275,15157.60541587852,16916.62099068689,18675.63807125382,21314.16640203423
9516.0,3724.367656692711,6363.145892313882,8122.333764130624,9881.523454267955,12520.31124746025,15159.10275693626,16918.29906127781,18677.4968713831,21316.2962964799
9517.0,3724.690255111419,6363.739583269422,8123.108183451302,9882.478601959425,12521.53748771821,15160.60008977268,16919.97712250621,18679.35566100865,21318.42617871005
9518.0,3725.012852727865,6364.333271710927,8123.88259911676,9883.433744854485,12522.76372146797,15162.09741438911,16921.65517437342,18681.21444013183,21320.55604872603
9519.0,3725.335449551158,6364.926957647483,8124.657011136067,9884.38888296219,12523.98994871857,15163.59473079457,16923.33321688845,18683.07320876161,21322.68590653678
9520.0,3725.658045581295,6365.520641079087,8125.431419509225,9885.344016282546,12525.21616947002,15165.09203898906,16925.0112500513,18684.93196689798,21324.8157521423
9521.0,3725.980640818279,6366.114322005743,8126.205824236233,9886.299144815548,12526.4423837223,15166.58933897257,16926.68927386195,18686.79071454097,21326.94558554261
9522.0,3726.303235262108,6366.708000427448,8126.98022531709,9887.2542685612,12527.66859147542,15168.08663074511,16928.36728832043,18688.64945169055,21329.07540673769
9523.0,3726.625828912781,6367.301676344204,8127.754622751799,9888.209387519497,12528.89479272939,15169.58391430668,16930.04529342672,18690.50817834674,21331.20521572755
9524.0,3726.948421770301,6367.89534975601,8128.529016540358,9889.164501690444,12530.12098748419,15171.08118965727,16931.72328918083,18692.36689450953,21333.33501251219
9525.0,3727.271013834666,6368.489020662866,8129.303406682766,9890.119611074038,12531.34717573983,15172.5784567969,16933.40127558275,18694.22560017892,21335.46479709161
9526.0,3727.593605105877,6369.082689064772,8130.077793179024,9891.07471567028,12532.57335749632,15174.07571572554,16935.07925263249,18696.08429535491,21337.59456946581
9527.0,3727.916195583933,6369.676354961728,8130.852176029134,9892.029815479173,12533.79953275364,15175.57296644322,16936.75722033005,18697.94298003751,21339.72432963478
9528.0,3728.238785268835,6370.270018353734,8131.626555233094,9892.984910500709,12535.02570151181,15177.07020894992,16938.43517867542,18699.80165422671,21341.85407759854
9529.0,3728.561374160582,6370.863679240791,8132.400930790904,9893.940000734894,12536.25186377081,15178.56744324565,16940.11312766861,18701.66031792251,21343.98381335707
9530.0,3728.883962259174,6371.457337622898,8133.175302702562,9894.895086181728,12537.47801953066,15180.06466933041,16941.79106730961,18703.51897112491,21346.11353691038
9531.0,3729.206549564612,6372.050993500055,8133.949670968072,9895.85016684121,12538.70416879134,15181.5618872042,16943.46899759843,18705.37761383392,21348.24324825847
9532.0,3729.529136076897,6372.644646872262,8134.724035587433,9896.80524271334,12539.93031155286,15183.05909686701,16945.14691853507,18707.23624604952,21350.37294740134
9533.0,3729.851721772721,6373.238297716272,8135.498396537433,9897.760313774945,12541.15644779211,15184.55629829579,16946.8248300965,18709.09486774875,21352.50263431607
9534.0,3730.174306591265,6373.831945971414,8136.272753757505,9898.715379965555,12542.38257744877,15186.05349143037,16948.50273222266,18710.95347887163,21354.63230894282
9535.0,3730.496890604617,6374.425591709598,8137.047107319438,9899.670441356848,12543.60870059433,15187.55067634207,16950.18062498474,18712.81207948925,21356.76197135252
9536.0,3730.819473812779,6375.019234930825,8137.821457223233,9900.62549794882,12544.83481722878,15189.04785303089,16951.85850838275,18714.6706696016,21358.89162154516
9537.0,3731.142056215749,6375.612875635094,8138.595803468892,9901.580549741471,12546.06092735214,15190.54502149683,16953.53638241669,18716.52924920868,21361.02125952074
9538.0,3731.464637813527,6376.206513822407,8139.370146056413,9902.535596734804,12547.28703096441,15192.04218173988,16955.21424708657,18718.3878183105,21363.15088527926
9539.0,3731.787218606114,6376.800149492762,8140.144484985797,9903.490638928815,12548.51312806557,15193.53933376006,16956.89210239236,18720.24637690705,21365.28049882071
9540.0,3732.109798593509,6377.393782646161,8140.918820257043,9904.445676323508,12549.73921865564,15195.03647755735,16958.56994833408,18722.10492499833,21367.41010014511
9541.0,3732.432377775713,6377.987413282602,8141.693151870152,9905.400708918878,12550.96530273461,15196.53361313176,16960.24778491173,18723.96346258435,21369.53968925244
9542.0,3732.754956152726,6378.581041402085,8142.467479825124,9906.35573671493,12552.19138030248,15198.03074048329,16961.92561212531,18725.8219896651,21371.66926614272
9543.0,3733.077533724547,6379.174667004612,8143.241804121957,9907.310759711663,12553.41745135925,15199.52785961194,16963.60342997481,18727.68050624058,21373.79883081593
9544.0,3733.400110491176,6379.768290090181,8144.016124760655,9908.265777909077,12554.64351590492,15201.02497051771,16965.28123846024,18729.53901231079,21375.92838327208
