time,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.0,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.1,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.2,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.3,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.4,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.5,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.6,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.7,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.8,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.9
4187.0,3017.651668641019,3205.332242030855,3394.10400168416,3584.272267478548,3776.267982844333,3970.719731684238,4168.581714612621,4371.375958179447,4581.688508358677,4804.296130256689
4188.0,3018.380856139114,3206.070499377804,3394.851328879967,3585.028664523225,3777.033449737865,3971.494268426538,4169.36532120349,4372.168634618338,4582.490254644516,4805.106946386995
4189.0,3019.110051591134,3206.808764620615,3395.598663913574,3585.785069347643,3777.798924353079,3972.268812832461,4170.148935399924,4372.961318604735,4583.292008419804,4805.917769948692
4190.0,3019.839254997077,3207.547037759287,3396.346006784983,3586.541481951802,3778.564406689975,3973.043364902008,4170.932557201923,4373.75401013864,4584.093769684542,4806.728600941782
4191.0,3020.568466356945,3208.285318793823,3397.093357494193,3587.297902335702,3779.329896748553,3973.817924635178,4171.716186609487,4374.546709220052,4584.89553843873,4807.539439366265
4192.0,3021.297685670736,3209.023607724219,3397.840716041204,3588.054330499344,3780.095394528813,3974.592492031971,4172.499823622617,4375.339415848971,4585.697314682368,4808.35028522214
4193.0,3022.026912938452,3209.761904550478,3398.588082426016,3588.810766442727,3780.860900030755,3975.367067092388,4173.28346824131,4376.132130025398,4586.499098415456,4809.161138509407
4194.0,3022.756148160092,3210.500209272599,3399.33545664863,3589.567210165851,3781.626413254378,3976.141649816428,4174.06712046557,4376.924851749332,4587.300889637992,4809.971999228066
4195.0,3023.485391335656,3211.238521890582,3400.082838709044,3590.323661668716,3782.391934199684,3976.916240204091,4174.850780295394,4377.717581020772,4588.102688349979,4810.782867378118
4196.0,3024.214642465143,3211.976842404427,3400.830228607259,3591.080120951322,3783.157462866672,3977.690838255377,4175.634447730783,4378.51031783972,4588.904494551415,4811.593742959561
4197.0,3024.943901548555,3212.715170814134,3401.577626343276,3591.83658801367,3783.922999255342,3978.465443970286,4176.418122771737,4379.303062206176,4589.706308242301,4812.404625972398
4198.0,3025.67316858589,3213.453507119703,3402.325031917094,3592.593062855758,3784.688543365693,3979.240057348819,4177.201805418257,4380.095814120138,4590.508129422637,4813.215516416627
4199.0,3026.402443577149,3214.191851321134,3403.072445328713,3593.349545477588,3785.454095197727,3980.014678390975,4177.985495670341,4380.888573581608,4591.309958092422,4814.026414292249
4200.0,3027.131726522333,3214.930203418427,3403.819866578134,3594.10603587916,3786.219654751442,3980.789307096755,4178.769193527991,4381.681340590586,4592.111794251657,4814.837319599262
4201.0,3027.86101742144,3215.668563411582,3404.567295665355,3594.862534060472,3786.985222026839,3981.563943466158,4179.552898991205,4382.474115147069,4592.913637900341,4815.648232337668
4202.0,3028.590316274472,3216.406931300598,3405.314732590378,3595.619040021526,3787.750797023919,3982.338587499184,4180.336612059985,4383.266897251061,4593.715489038475,4816.459152507467
4203.0,3029.319623081427,3217.145307085477,3406.062177353201,3596.37555376232,3788.51637974268,3983.113239195833,4181.12033273433,4384.059686902559,4594.517347666059,4817.270080108656
4204.0,3030.048937842307,3217.883690766218,3406.809629953826,3597.132075282856,3789.281970183124,3983.887898556105,4181.904061014239,4384.852484101565,4595.319213783093,4818.08101514124
4205.0,3030.77826055711,3218.622082342822,3407.557090392252,3597.888604583134,3790.047568345249,3984.662565580001,4182.687796899714,4385.645288848078,4596.121087389576,4818.891957605215
4206.0,3031.507591225838,3219.360481815286,3408.304558668479,3598.645141663152,3790.813174229056,3985.43724026752,4183.471540390754,4386.438101142099,4596.922968485509,4819.702907500583
4207.0,3032.236929848489,3220.098889183613,3409.052034782508,3599.401686522911,3791.578787834545,3986.211922618663,4184.255291487359,4387.230920983626,4597.724857070892,4820.513864827342
4208.0,3032.966276425064,3220.837304447803,3409.799518734337,3600.158239162412,3792.344409161716,3986.986612633428,4185.039050189529,4388.023748372661,4598.526753145724,4821.324829585495
4209.0,3033.695630955564,3221.575727607853,3410.547010523967,3600.914799581654,3793.110038210569,3987.761310311817,4185.822816497263,4388.816583309203,4599.328656710006,4822.135801775039
4210.0,3034.424993439987,3222.314158663766,3411.294510151399,3601.671367780637,3793.875674981104,3988.536015653829,4186.606590410564,4389.609425793252,4600.130567763737,4822.946781395976
